Column1;Thématique;contenu_poste
0;éolienne;"Question : comment se fait-il que ce commentaire soit supprimé, # (actu) (diff)  30 juillet 2007 à 21:53 195.132.49.80 (Discuter) (17 720 octets) (→Unités) (défaire) ; alors que tout à fait juste ? — Le message qui précède, non signé, a été déposé par IP 129.184.84.10 (discuter), le 31 juillet 2007 à 17:21
Ce message ? Il a été déplacé plus bas et pas supprimé : les commentaires les plus récents vont en bas de ceux déjà mis. Et dans le cas de ce message en particulier, il s'agissait d'un nouveau sujet de discussion et pas d'une réponse au message précédent, donc j'ai ouvert une nouvelle section. Et vu le charabia qui y était contenu, je vois mal comment dire qu'il était « tout à fait juste ».
N.B. : le message dans lequel s'insérait ce message-ci était-il aussi de vous, ou avez-vous modifié le commentaire de quelqu'un d'autre ? --Sixsous 話 31 juillet 2007 à 17:33 (CEST)[répondre]"
1;éolienne;Ce message ? Il a été déplacé plus bas et pas supprimé : les commentaires les plus récents vont en bas de ceux déjà mis. Et dans le cas de ce message en particulier, il s'agissait d'un nouveau sujet de discussion et pas d'une réponse au message précédent, donc j'ai ouvert une nouvelle section. Et vu le charabia qui y était contenu, je vois mal comment dire qu'il était « tout à fait juste ».
2;éolienne;N.B. : le message dans lequel s'insérait ce message-ci était-il aussi de vous, ou avez-vous modifié le commentaire de quelqu'un d'autre ? --Sixsous 話 31 juillet 2007 à 17:33 (CEST)[répondre]
3;éolienne;Il existe 2 solutions : soit tu modifie manuellement l'article comme tu ferais un ajout classique, soit tu utilises l'historique et tu édites la version précédante de l'article.--Herman 21 mar 2005 à 17:08 (CET)
4;éolienne;Merci, je cherchais moi aussi les références du stateolien (le 4e) après en avoir eu une documentation. Je suis bien content d'être tombé sur cet article. L'idée des éoliennes à axe vertical n'est pas nouvelle. La manière de le faire par contre l'est ! Enfin une éolienne à axe vertical rentable et silencieuse. Il est formidable d'avoir trouver des solutions individuelles.
5;éolienne;il s'agit probablement de kWh (et non pas kW/h, notation abusive utilisée par de nombreux journalistes), car c'est l'unité d'énergie électrique standard. --Calmos 14 juin 2006 à 16:06 (CEST)[répondre]
6;éolienne;les données de vent des stations météo de météo france correspondent à des normes qui ne sont pas nécessairement celle des operateurs de parc éolien. il est donc possible que Météo France refuse simplement les données de l'opérateur du parc si elles sont non conformes.--Calmos 31 août 2006 à 20:29 (CEST)[répondre]
7;éolienne;Désolé mais l'impact sur les radars météorologique n'est pas de savoir la vitesse des vents à l'emplacement du parc d'éolienne mais le blocage qu'elles peuvent causer. Une éolienne seule est un très petit obstacle, beaucoup plus petit que le volume radar dans la plupart des cas. Mais si cette éolienne est très près du radar, elle devient non négligeable. Je pourrais te donner des exemples où un seul arbre mal placé peut bloquer plusieurs degrés de visée d'un radar. Si on compte de nombreuses éoliennes près d'un radar, tu peux imaginer le potentiel de blocage.
8;éolienne;Désolé mais l'impact sur les radars météorologique n'est pas de savoir la vitesse des vents à l'emplacement du parc d'éolienne mais le blocage qu'elles peuvent causer. Une éolienne seule est un très petit obstacle, beaucoup plus petit que le volume radar dans la plupart des cas. Mais si cette éolienne est très près du radar, elle devient non négligeable. Je pourrais te donner des exemples où un seul arbre mal placé peut bloquer plusieurs degrés de visée d'un radar. Si on compte de nombreuses éoliennes près d'un radar, tu peux imaginer le potentiel de blocage.
9;éolienne;En plus du blocage des éoliennes, les pales tournant sont notées par le radar. J'ai des exemples à mon bureau de cela. Imagine un orage se dirigeant vers le parc d'éolienne avec un potentiel de produire une tornade. On veut le suivre et voir si une rotation se développe dans le nuage. La rotation des pales superposée au vitesse Doppler venant du nuage vont fausser la donnée reçu par le radar. Si on a par contre une pluie continue avec une vitesse de déplacement de l'air noté, comme les pales s'orientent à 90 degrés de ce vent, on aura sur la donnée radar des vents dans une direction mais entre cette direction et 90 degrés de celle-ci au-dessus du parc d'éolienne. Dans les deux cas il est très difficile de départager le vrau du faux car le retour au radar dépend de l'intensité de l'écho venant de la pluie et celle venant des éoliennes.
10;éolienne;En plus du blocage des éoliennes, les pales tournant sont notées par le radar. J'ai des exemples à mon bureau de cela. Imagine un orage se dirigeant vers le parc d'éolienne avec un potentiel de produire une tornade. On veut le suivre et voir si une rotation se développe dans le nuage. La rotation des pales superposée au vitesse Doppler venant du nuage vont fausser la donnée reçu par le radar. Si on a par contre une pluie continue avec une vitesse de déplacement de l'air noté, comme les pales s'orientent à 90 degrés de ce vent, on aura sur la donnée radar des vents dans une direction mais entre cette direction et 90 degrés de celle-ci au-dessus du parc d'éolienne. Dans les deux cas il est très difficile de départager le vrau du faux car le retour au radar dépend de l'intensité de l'écho venant de la pluie et celle venant des éoliennes.
11;éolienne;En résumé, ce problème n'a rien à voir avec noter la vitesse du vent au parc éolien. Tous les services météo commence à regarder de plus près ce problème potentiel. Ce n'est pas que les éoliennes sont mauvaise mais plutôt de les placer là où elles ne nuiront pas aux radars: à une distance suffisante pour que le faiceaux le plus bas du radar ne les interceptent pas.
12;éolienne;En résumé, ce problème n'a rien à voir avec noter la vitesse du vent au parc éolien. Tous les services météo commence à regarder de plus près ce problème potentiel. Ce n'est pas que les éoliennes sont mauvaise mais plutôt de les placer là où elles ne nuiront pas aux radars: à une distance suffisante pour que le faiceaux le plus bas du radar ne les interceptent pas.
